date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:11:39	162/162	---MCZ	200	added ('OK')	text/plain	etag:%226225-1760780142;gz%22	https://bitrader.thetork.com/robots.txt		(from )
19:11:39	208456/208456	---MCZ	200	added ('OK')	text/html	etag:%226286-1760783856;gz%22	https://bitrader.thetork.com/	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/index.html	(from )
19:11:40	80164/80164	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Oct%202025%2012:56:52%20GMT	https://bitrader.thetork.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.6.1	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendc141.css	(from https://bitrader.thetork.com/)
19:11:40	4984/4984	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Oct%202025%2012:56:52%20GMT	https://bitrader.thetork.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/woo-products.css?ver=2.6.1	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/woo-productsc141.css	(from https://bitrader.thetork.com/)
19:11:41	22783/22783	---M-Z	200	added ('OK')	application/rss+xml	etag:%2201550b7cb41bdadcfa957e3f7b2b930b%22	https://bitrader.thetork.com/feed/	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/feed/index.html	(from https://bitrader.thetork.com/)
19:11:41	2947/2947	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202025%2013:13:30%20GMT	https://bitrader.thetork.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.2	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/wp-content/plugins/contact-form-7/includes/css/styles658f.css	(from https://bitrader.thetork.com/)
19:11:41	10699/10699	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b84a349f37ba7a972f99f7fedfc265b6%22	https://bitrader.thetork.com/comments/feed/	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/comments/feed/index.html	(from https://bitrader.thetork.com/)
19:11:41	776/776	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20May%202020%2010:57:14%20GMT	https://bitrader.thetork.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.6.1	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorc141.css	(from https://bitrader.thetork.com/)
19:11:41	53614/53614	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Oct%202025%2017:54:22%20GMT	https://bitrader.thetork.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.4	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/wp-content/plugins/elementor/assets/css/frontend.min4a4c.css	(from https://bitrader.thetork.com/)
19:11:41	1164/1164	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Oct%202025%2006:20:46%20GMT	https://bitrader.thetork.com/wp-content/uploads/elementor/css/post-7.css?ver=1759299646	C:/My%20Web%20Sites/https___bitrader.thetork.com_/bitrader.thetork.com/wp-content/uploads/elementor/css/post-708fa.css	(from https://bitrader.thetork.com/)
